input_size,sorting_config,algorithm,execution_time
100,random,selection_sort,0.00014706667085799077
500,random,selection_sort,0.0039037333238714686
5000,random,selection_sort,0.38423026666472043
10000,random,selection_sort,1.48423120000128
25000,random,selection_sort,9.559965766655901
50000,random,selection_sort,38.313250633334974
100,sorted,selection_sort,0.00019150000298395753
500,sorted,selection_sort,0.0034292333390718945
5000,sorted,selection_sort,0.37897520001085166
10000,sorted,selection_sort,1.4464599333296064
25000,sorted,selection_sort,9.431762766675092
50000,sorted,selection_sort,50.05236433333872
100,reverse_sorted,selection_sort,0.00015146666555665433
500,reverse_sorted,selection_sort,0.004185766660763572
5000,reverse_sorted,selection_sort,0.3792576999985613
10000,reverse_sorted,selection_sort,1.5212076999984372
25000,reverse_sorted,selection_sort,10.249201899995873
50000,reverse_sorted,selection_sort,45.912275299992565
100,flat_list,selection_sort,0.00012989999959245324
500,flat_list,selection_sort,0.003780633327551186
5000,flat_list,selection_sort,0.41280199999649386
10000,flat_list,selection_sort,1.649457566672936
25000,flat_list,selection_sort,10.478045533333594
50000,flat_list,selection_sort,40.94858690000061
